cur_index, vanilla, stacked, bidirectional, all_models, no_models
265,1044218.0837262156,1040426.0857539695,1046615.0504506767,1061070.7901576746,1062477.1836738433
266,1044218.0837262156,1041145.8399928611,1047339.0861408275,1061070.7901576746,1063212.1925967701
267,1044218.0837262156,1041145.8399928611,1047339.0861408275,1061070.7901576746,1062901.4935340593
268,1044218.0837262156,1041571.3124432199,1047767.0895100192,1061070.7901576746,1063646.682635974
269,1044218.0837262156,1041571.3124432199,1047767.0895100192,1061070.7901576746,1063546.1024675735
270,1044119.3407578762,1041472.819757898,1047668.0109418933,1060970.4535698763,1062990.6719019932
271,1043574.0557019439,1041164.3821380737,1047120.8726142667,1060416.3681214664,1063231.1277296876
272,1043810.1193570232,1041164.3821380737,1047357.7385838148,1060656.2416238755,1063536.329495745
273,1044109.746299414,1041463.2496184334,1049221.3783713167,1060960.7042657984,1065123.0121928004
274,1046153.9656055054,1043017.0016360743,1049709.550911435,1062543.5444048957,1065618.5833059317
275,1046153.9656055054,1043502.2874580862,1049709.550911435,1063037.9153658303,1064435.0356967975
276,1044992.0367088289,1042343.3036933554,1048543.6729427793,1061857.2340199337,1063978.3528674
277,1045363.4222051346,1042713.7478417933,1048916.3206747184,1062234.613331937,1064813.331147988
278,1045664.048570282,1042713.7478417933,1049217.9687849642,1062234.613331937,1065119.5509319445
279,1045664.048570282,1043013.6122116806,1049217.9687849642,1062540.0915263684,1061365.1009212043
280,1041978.1774444067,1039337.0836340727,1045519.5704120052,1058794.7338765603,1060816.1856701765
281,1043858.6913029877,1041212.8309691127,1047406.4756122654,1060705.5974757683,1063280.603399569
282,1043858.6913029877,1041212.8309691127,1048812.4285729185,1060705.5974757683,1064707.8644936734
283,1047312.696349361,1042610.470086739,1050872.219857641,1062129.4020920997,1066798.8732577895
284,1047312.696349361,1044658.0811763287,1050872.219857641,1064215.346943701,1064395.3329987447
285,1044953.0592213265,1043014.4097233027,1048504.562981677,1061817.6274721185,1065120.3653462634
286,1045664.8481084871,1043260.2426807967,1049218.7710405765,1062540.9039683747,1065371.4085601051
287,1047224.3473776887,1044569.9561420932,1050783.570612476,1064125.5721019865,1066708.8804755365
288,1047224.3473776887,1044569.9561420932,1050783.570612476,1064125.5721019865,1066292.3075513514
289,1046815.3835857396,1044162.0289474194,1050373.216866756,1063710.0080156792,1066271.1327790564
290,1046794.595592405,1044141.2936452463,1050352.3582208348,1063688.8845235112,1066002.3760537757
291,1046530.747984696,1043878.1148099729,1050087.6138687576,1063420.7786613773,1066209.0336872302
292,1046733.6308042601,1044080.4833840658,1050291.1862303927,1063626.935820518,1066055.7201916722
293,1046583.1177371352,1043930.3518212164,1050140.1616113668,1063473.9936128007,1065597.204930057
